/usr/bin/ld.gold
    Finished `release` profile [optimized] target(s) in 2.37s
Persistent signature found in 'hfuzz_target/x86_64-unknown-linux-gnu/release/token-swap-instructions'. Enabling persistent fuzzing mode
Start time:'2026-08-18.07.06.47' bin:'hfuzz_target/x86_64-unknown-linux-gnu/release/token-swap-instructions', input:'hfuzz_workspace/token-swap-instructions/input', output:'hfuzz_workspace/token-swap-instructions/input', persistent:true, stdin:false, mutation_rate:5, timeout:1, max_runs:0, threads:4, minimize:false, git_commit:380cf14962c64e3fa902d9442b6c6513869116ed
[2J[500B[2026-08-18T07:06:47-0700][W][26072] sanitizers_AddFlag():67 The 'ASAN_OPTIONS' envar is already set. Not overriding it!
Entering phase 1/3: Dry Run
Launched new fuzzing thread, no. #0
Launched new fuzzing thread, no. #3
Launched new fuzzing thread, no. #2
Launched new fuzzing thread, no. #1
Persistent mode: Launched new persistent pid=26123
Persistent mode: Launched new persistent pid=26125
Persistent mode: Launched new persistent pid=26122
Persistent mode: Launched new persistent pid=26124
Sz:4 Tm:1,726us (i/b/h/e/p/c) New:0/0/0/0/0/13, Cur:0/0/0/0/0/1235
Sz:64 Tm:1,508us (i/b/h/e/p/c) New:0/0/0/0/0/36, Cur:0/0/0/0/0/1425
Sz:8 Tm:1,600us (i/b/h/e/p/c) New:0/0/0/0/0/6, Cur:0/0/0/0/0/1072
Sz:16 Tm:1,458us (i/b/h/e/p/c) New:0/0/0/0/0/7, Cur:0/0/0/0/0/1036
Sz:32 Tm:1,876us (i/b/h/e/p/c) New:0/0/0/0/0/6, Cur:0/0/0/0/0/1001
Sz:63 Tm:1,146us (i/b/h/e/p/c) New:0/0/0/0/0/3, Cur:0/0/0/0/0/995
Sz:4 Tm:750us (i/b/h/e/p/c) New:0/0/0/0/0/3, Cur:0/0/0/13/0/918
Sz:32 Tm:1,100us (i/b/h/e/p/c) New:0/0/0/0/0/24, Cur:0/0/0/18/0/1668
Sz:64 Tm:1,266us (i/b/h/e/p/c) New:0/0/0/2/0/82, Cur:0/0/0/33/0/1873
Sz:79 Tm:1,419us (i/b/h/e/p/c) New:0/0/0/4/2/188, Cur:0/0/0/20/0/1648
Sz:64 Tm:22,696us (i/b/h/e/p/c) New:0/0/0/0/0/10, Cur:0/0/0/0/0/2009
Sz:128 Tm:14,306us (i/b/h/e/p/c) New:0/0/0/0/0/3, Cur:0/0/0/0/0/1367
Sz:8 Tm:33,061us (i/b/h/e/p/c) New:0/0/0/0/0/53, Cur:0/0/0/0/0/1146
Sz:8 Tm:13,932us (i/b/h/e/p/c) New:0/0/0/0/0/9, Cur:0/0/0/0/0/634
Sz:139 Tm:7,750us (i/b/h/e/p/c) New:0/0/0/0/0/7, Cur:0/0/0/0/0/1304
Sz:16 Tm:1,048us (i/b/h/e/p/c) New:0/0/0/0/0/17, Cur:0/0/0/0/0/564
Sz:4 Tm:11,538us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/847
Sz:64 Tm:3,256us (i/b/h/e/p/c) New:0/0/0/0/0/19, Cur:0/0/0/0/0/531
Sz:110 Tm:1,596us (i/b/h/e/p/c) New:0/0/0/0/0/9, Cur:0/0/0/0/0/543
Sz:16 Tm:1,223us (i/b/h/e/p/c) New:0/0/0/5/1/362, Cur:0/0/0/57/0/1446
