/usr/bin/ld.gold
warning: the gold linker is deprecated and has known bugs with Rust
  |
  = help: consider using LLD or ld from GNU binutils instead

warning: `wavebreak-math-fuzz` (bin "wb_math") generated 1 warning
    Finished `release` profile [optimized] target(s) in 0.16s
Persistent signature found in 'hfuzz_target/x86_64-unknown-linux-gnu/release/wb_math'. Enabling persistent fuzzing mode
Start time:'2026-08-18.11.41.23' bin:'hfuzz_target/x86_64-unknown-linux-gnu/release/wb_math', input:'hfuzz_workspace/wb_math/input', output:'hfuzz_workspace/wb_math/input', persistent:true, stdin:false, mutation_rate:5, timeout:2, max_runs:0, threads:4, minimize:false, git_commit:380cf14962c64e3fa902d9442b6c6513869116ed
[2J[500B[2026-08-18T11:41:23-0700][W][19302] sanitizers_AddFlag():67 The 'ASAN_OPTIONS' envar is already set. Not overriding it!
Entering phase 1/3: Dry Run
Launched new fuzzing thread, no. #0
Launched new fuzzing thread, no. #1
Launched new fuzzing thread, no. #2
Launched new fuzzing thread, no. #3
Persistent mode: Launched new persistent pid=19353
Persistent mode: Launched new persistent pid=19351
Sz:8 Tm:11,337us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/24
Sz:16 Tm:67us (i/b/h/e/p/c) New:0/0/0/0/0/4, Cur:0/0/0/0/0/24
Sz:32 Tm:30us (i/b/h/e/p/c) New:0/0/0/0/0/8, Cur:0/0/0/0/0/38
Sz:51 Tm:21us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/0/0/38
Sz:8 Tm:18us (i/b/h/e/p/c) New:0/0/0/0/0/5, Cur:0/0/0/0/0/42
Sz:16 Tm:20us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/40
Sz:32 Tm:22us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/0/0/40
Sz:64 Tm:19us (i/b/h/e/p/c) New:0/0/0/1/0/0, Cur:0/0/0/2/0/33
Sz:111 Tm:23us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/1/0/34
Sz:4 Tm:39us (i/b/h/e/p/c) New:0/0/0/0/0/4, Cur:0/0/0/0/0/91
Sz:16 Tm:26us (i/b/h/e/p/c) New:0/0/0/0/0/2, Cur:0/0/0/0/0/85
Sz:32 Tm:26us (i/b/h/e/p/c) New:0/0/0/0/0/3, Cur:0/0/0/0/0/46
Sz:64 Tm:31us (i/b/h/e/p/c) New:0/0/0/0/0/14, Cur:0/0/0/0/0/113
Sz:71 Tm:29us (i/b/h/e/p/c) New:0/0/0/0/0/4, Cur:0/0/0/0/0/125
Sz:4 Tm:31us (i/b/h/e/p/c) New:0/0/0/0/0/3, Cur:0/0/0/0/0/79
Sz:8 Tm:24us (i/b/h/e/p/c) New:0/0/0/0/0/3, Cur:0/0/0/0/0/79
Sz:16 Tm:8,564us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/44
Sz:128 Tm:38us (i/b/h/e/p/c) New:0/0/0/5/0/57, Cur:0/0/0/5/0/357
Sz:192 Tm:34us (i/b/h/e/p/c) New:0/0/0/0/0/5, Cur:0/0/0/0/0/120
Sz:32 Tm:13us (i/b/h/e/p/c) New:0/0/0/2/0/2, Cur:0/0/0/13/0/32
Sz:60 Tm:17us (i/b/h/e/p/c) New:0/0/0/0/0/4, Cur:0/0/0/0/0/45
Sz:64 Tm:22us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/126
Sz:128 Tm:33us (i/b/h/e/p/c) New:0/0/0/4/0/119, Cur:0/0/0/7/0/247
Sz:132 Tm:32us (i/b/h/e/p/c) New:0/0/0/0/0/8, Cur:0/0/0/0/0/171
Sz:64 Tm:19us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/40
Sz:88 Tm:24us (i/b/h/e/p/c) New:0/0/0/1/0/59, Cur:0/0/0/5/0/62
Sz:16 Tm:20us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/0/0/68
Sz:64 Tm:18us (i/b/h/e/p/c) New:0/0/0/0/0/1, Cur:0/0/0/1/0/36
Sz:115 Tm:38us (i/b/h/e/p/c) New:0/0/0/0/0/10, Cur:0/0/0/0/0/34
Sz:4 Tm:32us (i/b/h/e/p/c) New:0/0/0/0/0/12, Cur:0/0/0/0/0/68
Sz:52 Tm:33us (i/b/h/e/p/c) New:0/0/0/0/0/4, Cur:0/0/0/0/0/260
Sz:32 Tm:12us (i/b/h/e/p/c) New:0/0/0/4/0/2, Cur:0/0/0/4/0/21
Sz:54 Tm:18us (i/b/h/e/p/c) New:0/0/0/0/0/6, Cur:0/0/0/0/0/25
Sz:8 Tm:19us (i/b/h/e/p/c) New:0/0/0/0/0/3, Cur:0/0/0/0/0/48
